UserID,Umur,Gender,Daerah,Kategori
U0001,67,P,Yogyakarta,Teknologi
U0002,39,P,Denpasar,Musik
U0003,31,P,Bogor,Kuliner
U0004,33,L,Pontianak,Olahraga
U0005,17,P,Bogor,Musik
U0006,58,P,Manado,Kuliner
U0007,33,P,Semarang,Travel
U0008,49,L,Palembang,Olahraga
U0009,50,P,Depok,Olahraga
U0010,63,P,Palembang,Musik
U0011,27,P,Batam,Edukasi
U0012,35,L,Palembang,Olahraga
U0013,42,L,Bekasi,Travel
U0014,20,P,Bekasi,Teknologi
U0015,31,L,Tangerang,Olahraga
U0016,24,P,Yogyakarta,Fashion
U0017,39,P,Medan,Game
U0018,36,L,Semarang,Musik
U0019,63,P,Bogor,Edukasi
U0020,60,L,Medan,Kuliner
U0021,65,P,Batam,Fashion
U0022,36,L,Padang,Film
U0023,43,L,Tangerang,Edukasi
U0024,73,P,Palembang,Olahraga
U0025,36,P,Manado,Musik
U0026,18,P,Pontianak,Edukasi
U0027,78,P,Depok,Film
U0028,42,P,Medan,Game
U0029,62,P,Batam,Film
U0030,17,P,Pontianak,Kuliner
U0031,48,L,Tangerang,Olahraga
U0032,51,P,Jakarta,Film
U0033,71,L,Bogor,Fashion
U0034,26,P,Medan,Game
U0035,46,P,Bogor,Edukasi
U0036,61,L,Batam,Musik
U0037,54,L,Medan,Teknologi
U0038,58,P,Pontianak,Game
U0039,55,L,Palembang,Fashion
U0040,34,P,Bandung,Teknologi
U0041,45,L,Bogor,Musik
U0042,32,L,Denpasar,Kuliner
U0043,67,P,Bogor,Film
U0044,26,L,Pontianak,Game
U0045,73,P,Bogor,Musik
U0046,40,L,Makassar,Teknologi
U0047,55,L,Tangerang,Musik
U0048,58,P,Depok,Musik
U0049,39,P,Bekasi,Game
U0050,55,L,Jakarta,Olahraga
U0051,18,L,Balikpapan,Musik
U0052,50,L,Denpasar,Game
U0053,67,P,Manado,Travel
U0054,21,P,Surabaya,Edukasi
U0055,19,L,Jakarta,Film
U0056,61,P,Semarang,Game
U0057,26,P,Bekasi,Film
U0058,24,P,Palembang,Kuliner
U0059,31,L,Manado,Olahraga
U0060,57,L,Bekasi,Game
U0061,72,L,Padang,Fashion
U0062,24,P,Makassar,Teknologi
U0063,27,P,Bekasi,Game
U0064,35,P,Batam,Teknologi
U0065,76,P,Manado,Edukasi
U0066,73,P,Jakarta,Travel
U0067,40,L,Denpasar,Musik
U0068,46,P,Balikpapan,Teknologi
U0069,34,P,Palembang,Game
U0070,66,P,Semarang,Travel
U0071,38,L,Bogor,Fashion
U0072,40,P,Makassar,Edukasi
U0073,60,L,Semarang,Teknologi
U0074,43,L,Batam,Olahraga
